Provincia;Nombre del Canton;Nombre de la Parroquia;Hombre;Mujer;Total
Azuay;CAMILO PONCE ENRIQUEZ         ; CAMILO PONCE ENRIQUEZ;9.766;7.638;17.404
;; EL CARMEN DE PIJILI;2.445;2.149;4.594
;; Total;12.211;9.787;21.998
;CHORDELEG                     ; CHORDELEG;3.241;3.546;6.787
;; LA UNION;867;1.029;1.896
;; LUIS GALARZA ORELLANA;661;833;1.494
;; PRINCIPAL;597;734;1.331
;; SAN MARTIN DE PUZHIO;455;614;1.069
;; Total;5.821;6.756;12.577
;CUENCA                        ; BAÑOS;7.868;8.983;16.851
;; CHAUCHA;617;680;1.297
;; CHECA (JIDCAY);1.182;1.559;2.741
;; CHIQUINTAD;2.251;2.575;4.826
;; CUENCA;158.365;173.523;331.888
;; CUMBE;2.480;3.066;5.546
;; LLACAO;2.487;2.855;5.342
;; MOLLETURO;3.681;3.485;7.166
;; NULTI;2.107;2.217;4.324
;; OCTAVIO CORDERO PALACIOS;983;1.288;2.271
;; PACCHA;2.961;3.506;6.467
;; QUINGEO;3.421;4.029;7.450
;; RICAURTE;9.247;10.114;19.361
;; SAN JOAQUIN;3.522;3.933;7.455
;; SANTA ANA;2.472;2.894;5.366
;; SAYAUSI;3.943;4.449;8.392
;; SIDCAY;1.743;2.221;3.964
;; SININCAY;7.277;8.582;15.859
;; TARQUI;4.833;5.657;10.490
;; TURI;4.177;4.787;8.964
;; VALLE;11.489;12.825;24.314
;; VICTORIA DEL PORTETE;2.391;2.860;5.251
;; Total;239.497;266.088;505.585
;EL PAN                        ; EL PAN;569;627;1.196
;; SAN VICENTE;851;989;1.840
;; Total;1.420;1.616;3.036
;GIRON                         ; ASUNCION;1.429;1.622;3.051
;; GIRON;3.834;4.603;8.437
;; SAN GERARDO;514;605;1.119
;; Total;5.777;6.830;12.607
;GUACHAPALA                    ; GUACHAPALA;1.560;1.849;3.409
;; Total;1.560;1.849;3.409
;GUALACEO                      ; DANIEL CORDOVA TORAL;722;980;1.702
;; GUALACEO;9.973;11.470;21.443
;; JADAN;2.042;2.284;4.326
;; LUIS CORDERO VEGA;902;1.128;2.030
;; MARIANO MORENO;1.181;1.435;2.616
;; REMIGIO CRESPO TORAL;616;798;1.414
;; SAN JUAN;2.314;2.991;5.305
;; SIMON BOLIVAR;515;613;1.128
;; ZHIDMAD;1.216;1.529;2.745
;; Total;19.481;23.228;42.709
;NABON                         ; COCHAPATA;1.410;1.662;3.072
;; EL PROGRESO;966;1.046;2.012
;; LAS NIEVES (CHAYA);605;677;1.282
;; NABON;4.359;5.167;9.526
;; Total;7.340;8.552;15.892
;OÑA                           ; OÑA;1.091;1.304;2.395
;; SUSUDEL;556;632;1.188
;; Total;1.647;1.936;3.583
;PAUTE                         ; BULAN;994;1.179;2.173
;; CHICAN;1.694;1.950;3.644
;; DUG-DUG;860;1.043;1.903
;; EL CABO;1.553;1.767;3.320
;; GUARAINAG;390;456;846
;; PAUTE;4.635;5.215;9.850
;; SAN CRISTOBAL;1.122;1.290;2.412
;; TOMEBAMBA;633;713;1.346
;; Total;11.881;13.613;25.494
;PUCARA                        ; PUCARA;3.985;4.230;8.215
;; SAN RAFAEL DE SHARUG;913;924;1.837
;; Total;4.898;5.154;10.052
;SAN FERNANDO                  ; CHUMBLIN;327;422;749
;; SAN FERNANDO;1.417;1.827;3.244
;; Total;1.744;2.249;3.993
