"Provincia","Canton"," Parroquia","Hombre","Mujer","Total"
"Azuay","CAMILO PONCE ENRIQUEZ         "," CAMILO PONCE ENRIQUEZ","9766","7638","17404"
"Azuay",""," EL CARMEN DE PIJILI","2445","2149","4594"
"Azuay",""," Total","12211","9787","21998"
"Azuay","CHORDELEG                     "," CHORDELEG","3241","3546","6787"
"Azuay",""," LA UNION","867","1029","1896"
"Azuay",""," LUIS GALARZA ORELLANA","661","833","1494"
"Azuay",""," PRINCIPAL","597","734","1331"
"Azuay",""," SAN MARTIN DE PUZHIO","455","614","1069"
"Azuay",""," Total","5821","6756","12577"
"Azuay","CUENCA                        "," BAÑOS","7868","8983","16851"
"Azuay",""," CHAUCHA","617","680","1297"
"Azuay",""," CHECA (JIDCAY)","1182","1559","2741"
"Azuay",""," CHIQUINTAD","2251","2575","4826"
"Azuay",""," CUENCA","158365","173523","331888"
"Azuay",""," CUMBE","2480","3066","5546"
"Azuay",""," LLACAO","2487","2855","5342"
"Azuay",""," MOLLETURO","3681","3485","7166"
"Azuay",""," NULTI","2107","2217","4324"
"Azuay",""," OCTAVIO CORDERO PALACIOS","983","1288","2271"
"Azuay",""," PACCHA","2961","3506","6467"
"Azuay",""," QUINGEO","3421","4029","7450"
"Azuay",""," RICAURTE","9247","10114","19361"
"Azuay",""," SAN JOAQUIN","3522","3933","7455"
"Azuay",""," SANTA ANA","2472","2894","5366"
"Azuay",""," SAYAUSI","3943","4449","8392"
"Azuay",""," SIDCAY","1743","2221","3964"
"Azuay",""," SININCAY","7277","8582","15859"
"Azuay",""," TARQUI","4833","5657","10490"
"Azuay",""," TURI","4177","4787","8964"
"Azuay",""," VALLE","11489","12825","24314"
"Azuay",""," VICTORIA DEL PORTETE","2391","2860","5251"
"Azuay",""," Total","239497","266088","505585"
"Azuay","EL PAN                        "," EL PAN","569","627","1196"
"Azuay",""," SAN VICENTE","851","989","1840"
"Azuay",""," Total","1420","1616","3036"
"Azuay","GIRON                         "," ASUNCION","1429","1622","3051"
"Azuay",""," GIRON","3834","4603","8437"
"Azuay",""," SAN GERARDO","514","605","1119"
"Azuay",""," Total","5777","6830","12607"
"Azuay","GUACHAPALA                    "," GUACHAPALA","1560","1849","3409"
"Azuay",""," Total","1560","1849","3409"
"Azuay","GUALACEO                      "," DANIEL CORDOVA TORAL","722","980","1702"
"Azuay",""," GUALACEO","9973","11470","21443"
"Azuay",""," JADAN","2042","2284","4326"
"Azuay",""," LUIS CORDERO VEGA","902","1128","2030"
"Azuay",""," MARIANO MORENO","1181","1435","2616"
"Azuay",""," REMIGIO CRESPO TORAL","616","798","1414"
"Azuay",""," SAN JUAN","2314","2991","5305"
"Azuay",""," SIMON BOLIVAR","515","613","1128"
"Azuay",""," ZHIDMAD","1216","1529","2745"
"Azuay",""," Total","19481","23228","42709"
"Azuay","NABON                         "," COCHAPATA","1410","1662","3072"
"Azuay",""," EL PROGRESO","966","1046","2012"
"Azuay",""," LAS NIEVES (CHAYA)","605","677","1282"
"Azuay",""," NABON","4359","5167","9526"
"Azuay",""," Total","7340","8552","15892"
"Azuay","OÑA                           "," OÑA","1091","1304","2395"
"Azuay",""," SUSUDEL","556","632","1188"
"Azuay",""," Total","1647","1936","3583"
"Azuay","PAUTE                         "," BULAN","994","1179","2173"
"Azuay",""," CHICAN","1694","1950","3644"
"Azuay",""," DUG-DUG","860","1043","1903"
"Azuay",""," EL CABO","1553","1767","3320"
"Azuay",""," GUARAINAG","390","456","846"
"Azuay",""," PAUTE","4635","5215","9850"
"Azuay",""," SAN CRISTOBAL","1122","1290","2412"
"Azuay",""," TOMEBAMBA","633","713","1346"
"Azuay",""," Total","11881","13613","25494"
"Azuay","PUCARA                        "," PUCARA","3985","4230","8215"
"Azuay",""," SAN RAFAEL DE SHARUG","913","924","1837"
"Azuay",""," Total","4898","5154","10052"
"Azuay","SAN FERNANDO                  "," CHUMBLIN","327","422","749"
"Azuay",""," SAN FERNANDO","1417","1827","3244"
"Azuay",""," Total","1744","2249","3993"
"Azuay","SANTA ISABEL                  "," ABDON CALDERON","2291","2340","4631"
"Azuay",""," SANTA ISABEL","5603","6004","11607"
"Azuay",""," ZHAGLLI","1016","1139","2155"
"Azuay",""," Total","8910","9483","18393"
"Azuay","SEVILLA DE ORO                "," AMALUZA","833","590","1423"
"Azuay",""," PALMAS","1075","1146","2221"
"Azuay",""," SEVILLA DE ORO","1034","1211","2245"
"Azuay",""," Total","2942","2947","5889"
"Azuay","SIGSIG                        "," CUCHIL","725","963","1688"
"Azuay",""," GIMA","1299","1587","2886"
"Azuay",""," GUEL","564","784","1348"
"Azuay",""," LUDO","1494","1872","3366"
"Azuay",""," SAN BARTOLOME","1834","2267","4101"
"Azuay",""," SAN JOSE DE RARANGA","1040","1311","2351"
"Azuay",""," SIGSIG","4959","6211","11170"
"Azuay",""," Total","11915","14995","26910"
"Azuay","Total","","337044","375083","712127"
"Bolivar","CALUMA                        "," CALUMA","6509","6620","13129"
"Bolivar",""," Total","6509","6620","13129"
"Bolivar","CHILLANES                     "," CHILLANES","6659","6615","13274"
"Bolivar",""," SAN JOSE DEL TAMBO","2192","1940","4132"
"Bolivar",""," Total","8851","8555","17406"
"Bolivar","ECHEANDIA                     "," ECHEANDIA","6149","5965","12114"
"Bolivar",""," Total","6149","5965","12114"
"Bolivar","GUARANDA                      "," FACUNDO VELA","1712","1607","3319"
"Bolivar",""," GUARANDA","26155","29219","55374"
"Bolivar",""," JULIO E. MORENO","1443","1505","2948"
"Bolivar",""," SALINAS","2944","2877","5821"
"Bolivar",""," SAN LORENZO","929","928","1857"
"Bolivar",""," SAN LUIS DE PAMBIL","2779","2578","5357"
"Bolivar",""," SAN SIMON (YACOTO)","2048","2155","4203"
"Bolivar",""," SANTAFE (SANTA FE)","822","930","1752"
"Bolivar",""," SIMIATUG","5521","5725","11246"
"Bolivar",""," Total","44353","47524","91877"
"Bolivar","LAS NAVES                     "," LAS NAVES","3135","2957","6092"
"Bolivar",""," Total","3135","2957","6092"
"Bolivar","SAN JOSE DE CHIMBO            "," ASUNCION (ASANCOTO)","1366","1471","2837"
"Bolivar",""," MAGDALENA (CHAPACOTO)","1349","1470","2819"
"Bolivar",""," SAN JOSE DE CHIMBO","2734","3075","5809"
"Bolivar",""," SAN SEBASTIAN","535","522","1057"
"Bolivar",""," TELIMBELA","1669","1588","3257"
"Bolivar",""," Total","7653","8126","15779"
"Bolivar","SAN MIGUEL                    "," BALSAPAMBA","1415","1350","2765"
"Bolivar",""," BILOVAN","1375","1370","2745"
"Bolivar",""," REGULO DE MORA","468","476","944"
"Bolivar",""," SAN MIGUEL","5880","6529","12409"
"Bolivar",""," SAN PABLO","2640","2849","5489"
"Bolivar",""," SAN VICENTE","572","571","1143"
"Bolivar",""," SANTIAGO","875","874","1749"
"Bolivar",""," Total","13225","14019","27244"
"Bolivar"," Total","","89875","93766","183641"
"Cañar","AZOGUES                       "," AZOGUES","17667","20328","37995"
"Cañar",""," COJITAMBO","1594","2095","3689"
"Cañar",""," GUAPAN","3933","4920","8853"
"Cañar",""," JAVIER LOYOLA","3142","3665","6807"
"Cañar",""," LUIS CORDERO","1690","2181","3871"
"Cañar",""," PINDILIG","973","1130","2103"
"Cañar",""," RIVERA","722","820","1542"
"Cañar",""," SAN MIGUEL","1613","1954","3567"
"Cañar",""," TADAY","754","883","1637"
"Cañar",""," Total","32088","37976","70064"
"Cañar","BIBLIAN                       "," BIBLIAN","6106","7599","13705"
"Cañar",""," JERUSALEN","761","984","1745"
"Cañar",""," NAZON","1106","1459","2565"
"Cañar",""," SAN FRANCISCO DE SAGEO","765","966","1731"
"Cañar",""," TURUPAMBA","455","616","1071"
"Cañar",""," Total","9193","11624","20817"
"Cañar","CAÑAR                         "," CAÑAR","8509","9826","18335"
"Cañar",""," CHONTAMARCA","1916","2224","4140"
"Cañar",""," CHOROCOPTE","1397","1691","3088"
"Cañar",""," DUCUR","2077","2076","4153"
"Cañar",""," GENERAL MORALES","1609","1791","3400"
"Cañar",""," GUALLETURO","1756","2086","3842"
"Cañar",""," HONORATO VASQUEZ","2697","3529","6226"
"Cañar",""," INGAPIRCA","3683","4657","8340"
"Cañar",""," JUNCAL","976","1193","2169"
"Cañar",""," SAN ANTONIO","1024","950","1974"
"Cañar",""," VENTURA","632","656","1288"
"Cañar",""," ZHUD","1094","1274","2368"
"Cañar",""," Total","27370","31953","59323"
"Cañar","DELEG                         "," DELEG","1878","2555","4433"
"Cañar",""," SOLANO","751","916","1667"
"Cañar",""," Total","2629","3471","6100"
"Cañar","EL TAMBO                      "," EL TAMBO","4364","5111","9475"
"Cañar",""," Total","4364","5111","9475"
"Cañar","LA TRONCAL                    "," LA TRONCAL","21176","21434","42610"
"Cañar",""," MANUEL J. CALLE","1442","1323","2765"
"Cañar",""," PANCHO NEGRO","4702","4312","9014"
"Cañar",""," Total","27320","27069","54389"
"Cañar","SUSCAL                        "," SUSCAL","2271","2745","5016"
"Cañar",""," Total","2271","2745","5016"
"Cañar"," Total","","105235","119949","225184"
"Carchi","BOLIVAR                       "," BOLIVAR","2623","2583","5206"
"Carchi",""," GARCIA MORENO","695","711","1406"
"Carchi",""," LOS ANDES","1082","1178","2260"
"Carchi",""," MONTE OLIVO","889","801","1690"
"Carchi",""," SAN RAFAEL","873","868","1741"
"Carchi",""," SAN VICENTE DE PUSIR","1004","1040","2044"
"Carchi",""," Total","7166","7181","14347"
"Carchi","ESPEJO                        "," EL ANGEL","3044","3281","6325"
"Carchi",""," EL GOALTAL","436","380","816"
"Carchi",""," LA LIBERTAD (ALIZO)","1741","1761","3502"
"Carchi",""," SAN ISIDRO","1306","1415","2721"
"Carchi",""," Total","6527","6837","13364"
"Carchi","","","Hombre","Mujer","Total"
"Carchi","MIRA                          "," CONCEPCION","1414","1393","2807"
"Carchi",""," JIJON Y CAAMAÑO","1101","970","2071"
"Carchi",""," JUAN MONTALVO","671","637","1308"
"Carchi",""," MIRA (CHONTAHUASI)","2935","3059","5994"
"Carchi",""," Total","6121","6059","12180"
"Carchi","MONTUFAR                      "," CHITAN DE NAVARRETE","313","305","618"
"Carchi",""," CRISTOBAL COLON","1449","1494","2943"
"Carchi",""," FERNANDEZ SALVADOR","663","619","1282"
"Carchi",""," LA PAZ","1665","1767","3432"
"Carchi",""," PIARTAL","586","554","1140"
"Carchi",""," SAN GABRIEL","10234","10862","21096"
"Carchi",""," Total","14910","15601","30511"
"Carchi","SAN PEDRO DE HUACA            "," HUACA","3163","3078","6241"
"Carchi",""," MARISCAL SUCRE","684","699","1383"
"Carchi",""," Total","3847","3777","7624"
"Carchi","TULCAN                        "," EL CARMELO (EL PUN)","1405","1384","2789"
"Carchi",""," EL CHICAL","1756","1681","3437"
"Carchi",""," JULIO ANDRADE (OREJUELA)","4876","4758","9634"
"Carchi",""," MALDONADO","893","810","1703"
