"Provincia","Nombre del Cantón","Nombre de la Parroquia","Hombre","Mujer","Total"
"Azuay","CAMILO PONCE ENRIQUEZ         "," CAMILO PONCE ENRIQUEZ","9766","7638","17404"
"",""," EL CARMEN DE PIJILI","2445","2149","4594"
"",""," Total","12211","9787","21998"
"","CHORDELEG                     "," CHORDELEG","3241","3546","6787"
"",""," LA UNION","867","1029","1896"
"",""," LUIS GALARZA ORELLANA","661","833","1494"
"",""," PRINCIPAL","597","734","1331"
"",""," SAN MARTIN DE PUZHIO","455","614","1069"
"",""," Total","5821","6756","12577"
"","CUENCA                        "," BAÑOS","7868","8983","16851"
"",""," CHAUCHA","617","680","1297"
"",""," CHECA (JIDCAY)","1182","1559","2741"
"",""," CHIQUINTAD","2251","2575","4826"
"",""," CUENCA","158365","173523","331888"
"",""," CUMBE","2480","3066","5546"
"",""," LLACAO","2487","2855","5342"
"",""," MOLLETURO","3681","3485","7166"
"",""," NULTI","2107","2217","4324"
"",""," OCTAVIO CORDERO PALACIOS","983","1288","2271"
"",""," PACCHA","2961","3506","6467"
"",""," QUINGEO","3421","4029","7450"
"",""," RICAURTE","9247","10114","19361"
"",""," SAN JOAQUIN","3522","3933","7455"
"",""," SANTA ANA","2472","2894","5366"
"",""," SAYAUSI","3943","4449","8392"
"",""," SIDCAY","1743","2221","3964"
"",""," SININCAY","7277","8582","15859"
"",""," TARQUI","4833","5657","10490"
"",""," TURI","4177","4787","8964"
"",""," VALLE","11489","12825","24314"
"",""," VICTORIA DEL PORTETE","2391","2860","5251"
"",""," Total","239497","266088","505585"
"","EL PAN                        "," EL PAN","569","627","1196"
"",""," SAN VICENTE","851","989","1840"
"",""," Total","1420","1616","3036"
"","GIRON                         "," ASUNCION","1429","1622","3051"
"",""," GIRON","3834","4603","8437"
"",""," SAN GERARDO","514","605","1119"
"",""," Total","5777","6830","12607"
"","GUACHAPALA                    "," GUACHAPALA","1560","1849","3409"
"",""," Total","1560","1849","3409"
"","GUALACEO                      "," DANIEL CORDOVA TORAL","722","980","1702"
"",""," GUALACEO","9973","11470","21443"
"",""," JADAN","2042","2284","4326"
"",""," LUIS CORDERO VEGA","902","1128","2030"
"",""," MARIANO MORENO","1181","1435","2616"
"",""," REMIGIO CRESPO TORAL","616","798","1414"
"",""," SAN JUAN","2314","2991","5305"
"",""," SIMON BOLIVAR","515","613","1128"
"",""," ZHIDMAD","1216","1529","2745"
"",""," Total","19481","23228","42709"
"","NABON                         "," COCHAPATA","1410","1662","3072"
"",""," EL PROGRESO","966","1046","2012"
"",""," LAS NIEVES (CHAYA)","605","677","1282"
"",""," NABON","4359","5167","9526"
"",""," Total","7340","8552","15892"
"","OÑA                           "," OÑA","1091","1304","2395"
"",""," SUSUDEL","556","632","1188"
"",""," Total","1647","1936","3583"
"","PAUTE                         "," BULAN","994","1179","2173"
"",""," CHICAN","1694","1950","3644"
"",""," DUG-DUG","860","1043","1903"
"",""," EL CABO","1553","1767","3320"
"",""," GUARAINAG","390","456","846"
"",""," PAUTE","4635","5215","9850"
"",""," SAN CRISTOBAL","1122","1290","2412"
"",""," TOMEBAMBA","633","713","1346"
"",""," Total","11881","13613","25494"
"","PUCARA                        "," PUCARA","3985","4230","8215"
"",""," SAN RAFAEL DE SHARUG","913","924","1837"
"",""," Total","4898","5154","10052"
"","SAN FERNANDO                  "," CHUMBLIN","327","422","749"
"",""," SAN FERNANDO","1417","1827","3244"
